season,team,pitcher,count
2019,YHA,diazda01,20
2021,YHA,campbpa02,19
2022,YHA,campbpa02,19
2023,YHA,campbpa02,19
2016,ZQF,ramirne01,21
2017,ZQF,rogertr01,21
2018,ZQF,adamsau02,22
2019,ZQF,adamsau02,21
2021,ZQF,leonedo01,20
2022,ZQF,middlke01,17
2023,ZQF,walstbl01,21
